image,debris_id,x,y,w,h
synthetic_0.jpg,1,233,253,6,3
synthetic_0.jpg,2,176,241,10,11
synthetic_0.jpg,3,242,230,14,5
synthetic_0.jpg,4,191,230,10,10
synthetic_0.jpg,5,144,215,20,19
synthetic_0.jpg,6,174,212,18,21
synthetic_0.jpg,7,28,212,45,40
synthetic_0.jpg,8,196,199,15,15
synthetic_0.jpg,9,220,184,20,21
synthetic_0.jpg,10,244,183,12,15
synthetic_0.jpg,11,142,181,22,23
synthetic_0.jpg,12,64,175,42,41
synthetic_0.jpg,13,127,168,21,20
synthetic_0.jpg,14,184,164,27,31
synthetic_0.jpg,15,164,151,8,10
synthetic_0.jpg,16,99,141,33,31
synthetic_0.jpg,17,60,132,16,28
synthetic_0.jpg,18,200,129,32,30
synthetic_0.jpg,19,73,118,23,22
synthetic_0.jpg,20,19,117,27,28
synthetic_0.jpg,21,127,98,52,48
synthetic_0.jpg,22,113,93,7,12
synthetic_0.jpg,23,97,85,9,11
synthetic_0.jpg,24,74,83,8,8
synthetic_0.jpg,25,76,69,12,10
synthetic_0.jpg,26,179,40,17,17
synthetic_1.jpg,1,50,242,11,14
synthetic_1.jpg,2,23,176,15,15
synthetic_1.jpg,3,140,175,22,14
synthetic_1.jpg,4,188,169,7,7
synthetic_1.jpg,5,219,167,13,13
synthetic_1.jpg,6,92,160,15,15
synthetic_1.jpg,7,0,104,26,43
synthetic_1.jpg,8,166,91,15,15
synthetic_10.jpg,1,175,220,11,11
synthetic_10.jpg,2,240,197,16,15
synthetic_10.jpg,3,162,183,13,13
synthetic_10.jpg,4,111,176,13,13
synthetic_10.jpg,5,57,107,9,9
synthetic_10.jpg,6,84,102,17,17
synthetic_10.jpg,7,23,56,17,17
synthetic_11.jpg,1,49,217,5,8
synthetic_11.jpg,2,16,189,13,13
synthetic_11.jpg,3,58,179,17,17
synthetic_11.jpg,4,221,160,11,11
synthetic_11.jpg,5,36,65,17,17
synthetic_11.jpg,6,236,40,8,8
synthetic_11.jpg,7,155,32,8,7
synthetic_11.jpg,8,154,12,26,18
synthetic_12.jpg,1,117,245,25,11
synthetic_12.jpg,2,253,238,3,14
synthetic_12.jpg,3,36,233,9,7
synthetic_12.jpg,4,63,174,7,7
synthetic_12.jpg,5,126,148,56,39
synthetic_12.jpg,6,205,139,23,30
synthetic_12.jpg,7,172,118,32,25
synthetic_12.jpg,8,24,85,8,10
synthetic_12.jpg,9,69,84,9,9
synthetic_12.jpg,10,73,62,21,20
synthetic_12.jpg,11,35,45,44,23
synthetic_12.jpg,12,21,41,7,6
synthetic_12.jpg,13,0,28,33,49
synthetic_12.jpg,14,120,20,9,9
synthetic_12.jpg,15,0,15,11,10
synthetic_12.jpg,16,154,0,6,11
synthetic_13.jpg,1,109,207,11,11
synthetic_13.jpg,2,73,147,13,13
synthetic_13.jpg,3,160,123,15,15
synthetic_13.jpg,4,97,98,7,7
synthetic_13.jpg,5,82,82,9,9
synthetic_13.jpg,6,129,66,11,11
synthetic_14.jpg,1,125,229,7,7
synthetic_14.jpg,2,86,168,15,15
synthetic_14.jpg,3,211,162,13,13
synthetic_14.jpg,4,221,82,7,7
synthetic_15.jpg,1,145,225,9,9
synthetic_15.jpg,2,34,171,11,11
synthetic_15.jpg,3,33,103,15,15
synthetic_16.jpg,1,71,147,7,7
synthetic_16.jpg,2,184,144,7,7
synthetic_16.jpg,3,32,74,7,7
synthetic_16.jpg,4,36,33,17,17
synthetic_16.jpg,5,119,32,9,9
synthetic_16.jpg,6,206,22,15,15
synthetic_17.jpg,1,56,223,8,6
synthetic_17.jpg,2,15,198,19,17
synthetic_17.jpg,3,25,113,15,15
synthetic_17.jpg,4,133,76,17,17
synthetic_17.jpg,5,166,57,7,7
synthetic_17.jpg,6,151,45,17,17
synthetic_17.jpg,7,226,38,17,17
synthetic_17.jpg,8,58,33,5,5
synthetic_17.jpg,9,164,32,11,11
synthetic_18.jpg,1,167,184,13,13
synthetic_18.jpg,2,118,151,7,7
synthetic_18.jpg,3,103,137,9,9
synthetic_18.jpg,4,122,83,15,15
synthetic_18.jpg,5,154,64,7,7
synthetic_19.jpg,1,76,201,17,17
synthetic_19.jpg,2,183,149,13,13
synthetic_19.jpg,3,109,103,9,9
synthetic_19.jpg,4,106,59,17,17
synthetic_19.jpg,5,162,17,15,15
synthetic_19.jpg,6,86,14,13,13
synthetic_2.jpg,1,229,229,15,15
synthetic_2.jpg,2,39,168,7,7
synthetic_2.jpg,3,136,159,11,11
synthetic_2.jpg,4,208,87,7,7
synthetic_3.jpg,1,76,223,15,15
synthetic_3.jpg,2,104,167,15,15
synthetic_3.jpg,3,194,140,7,7
synthetic_3.jpg,4,205,64,7,7
synthetic_3.jpg,5,110,58,11,11
synthetic_3.jpg,6,159,23,17,17
synthetic_4.jpg,1,217,214,11,11
synthetic_4.jpg,2,173,204,15,15
synthetic_4.jpg,3,68,180,13,13
synthetic_4.jpg,4,139,135,17,17
synthetic_4.jpg,5,19,127,11,11
synthetic_4.jpg,6,12,82,17,17
synthetic_4.jpg,7,143,16,13,13
synthetic_5.jpg,1,135,245,13,11
synthetic_5.jpg,2,102,228,8,8
synthetic_5.jpg,3,45,228,5,4
synthetic_5.jpg,4,225,221,23,6
synthetic_5.jpg,5,145,200,9,9
synthetic_5.jpg,6,93,191,6,7
synthetic_5.jpg,7,187,189,7,7
synthetic_5.jpg,8,218,181,38,20
synthetic_5.jpg,9,209,148,42,25
synthetic_5.jpg,10,101,133,11,11
synthetic_5.jpg,11,105,120,10,8
synthetic_5.jpg,12,52,114,15,15
synthetic_5.jpg,13,101,108,5,7
synthetic_5.jpg,14,66,102,9,9
synthetic_5.jpg,15,114,74,17,17
synthetic_5.jpg,16,70,74,11,10
synthetic_5.jpg,17,142,57,8,3
synthetic_5.jpg,18,131,41,7,5
synthetic_5.jpg,19,229,32,9,9
synthetic_6.jpg,1,232,230,24,26
synthetic_6.jpg,2,246,189,10,10
synthetic_6.jpg,3,77,154,7,8
synthetic_6.jpg,4,88,144,4,4
synthetic_6.jpg,5,232,101,24,42
synthetic_6.jpg,6,157,56,11,11
synthetic_6.jpg,7,136,52,6,3
synthetic_6.jpg,8,153,51,71,74
synthetic_6.jpg,9,145,40,5,4
synthetic_6.jpg,10,0,30,256,226
synthetic_6.jpg,11,194,27,35,31
synthetic_6.jpg,12,234,19,22,34
synthetic_6.jpg,13,217,17,9,9
synthetic_6.jpg,14,168,0,51,55
synthetic_6.jpg,15,112,0,7,8
synthetic_6.jpg,16,8,0,6,8
synthetic_7.jpg,1,118,158,15,15
synthetic_7.jpg,2,122,117,17,17
synthetic_7.jpg,3,24,80,9,9
synthetic_7.jpg,4,195,37,13,13
synthetic_8.jpg,1,22,227,9,9
synthetic_8.jpg,2,23,206,19,18
synthetic_8.jpg,3,37,182,15,15
synthetic_8.jpg,4,184,158,15,15
synthetic_8.jpg,5,228,143,11,11
synthetic_8.jpg,6,166,51,7,7
synthetic_9.jpg,1,24,231,11,11
synthetic_9.jpg,2,50,137,15,15
synthetic_9.jpg,3,104,128,11,11
synthetic_9.jpg,4,29,72,13,13
synthetic_9.jpg,5,231,29,9,9
